Kanji;Reading;Translation
一;いち;one
二;に;two
三;さん;three
四;よん;four
五;ご;five
六;ろく;six
七;なな;seven
八;はち;eight
九;きゅう;nine
十;じゅう;ten
百;ひゃく;hundred
千;せん;thousand
月;つき;moon| month
月;がつ;month
火;ひ;fire
水;みず;water
木;き;tree
金;きん;gold
土;つち;soil
日;にち;day
日;ひ;sun
右;みぎ;right (direction)
左;ひだり;left
雨;あめ;rain
円;えん;yen
王;おう;king
音;おと;sound| noise
音;ね;sound| song
下;した;below
花;はな;flower
貝;かい;shellfish
気;き;feeling
玉;たま;ball
空;そら;sky
犬;いぬ;dog
口;くち;mouth
山;やま;mountain
子;こ;child
糸;いと;thread
字;じ;character
耳;みみ;ear
車;くるま;car
手;て;hand
女;おんな;woman
女;じょ;woman
上;うえ;up| above
森;もり;forest
人;ひと;person
人;じん;from the country (sufix)
夕;ゆう;evening
石;いし;stone
川;かわ;river
先;さき;previous
草;くさ;grass
足;あし;foot| leg
村;むら;village
男;おとこ;male
竹;たけ;bamboo
中;なか;middle
虫;むし;insect
町;まち;town
天;てん;heaven
天;あめ;heaven
田;た;rice paddy
年;ねん;year
文;ふみ;writing
本;ほん;book
名;な;name
目;め;eye
力;ちから;power
林;はやし;woods
青;あお;blue (the color)
赤;あか;red (the color)
大;だい;large (prefix)
白;しろ;white (the color)
雨天;うてん;rainy weather
雨水;あまみず;rain water​
雨上がり;あめあがり;after the rain​
王子;おうじ;prince​
王女;おうじょ;princess​
花火;はなび;fireworks​
気力;きりょく;willpower| energy| vitality​
空白;くうはく;blank space (in a document)​| whitespace
空手;からて;karate
空耳;そらみみ;mishearing​
口上;こうじょう;speech
山林;さんりん;mountain forest
山村;さんそん;mountain village
子犬;こいぬ;puppy
子猫;こねこ;kitten
糸口;いとぐち;first step| clue
糸入り;いとい;silk or paper with cotton threads​
糸雨;いとさめ;drizzle| light rain| fine rain​
字下げ;じさ;Indentation
字林;じりん;kanji dictionary​
耳目;じもく;one's attention| one's interest​
耳語;じご;whispering
手入れ;ていれ;to care| to looking after| to repair|
手中;しゅちゅう;in one's hands| in one's control
女王;じょおう;queen​
女の子;おんなのこ;girl| daughter| baby girl
女子;じょし;woman| girl (as adult)
上げる;あげる;to raise
上手;じょうず;skillful
林立;りんりつ;standing close together
人口;じんこう;population​
人気;にんき;popularity
人気;ひとけ;sign of life
人目;ひとめ;(public) notice| attention
人出;ひとで;crowd
人文;じんぶん;humanity| civilization| civilisation| culture​
夕日;ゆうひ;setting sun
